URI Scheme,Template,Description,Status,Reference,Notes
aaa,,Diameter Protocol,Permanent,[RFC6733],
aaas,,Diameter Protocol with Secure Transport,Permanent,[RFC6733],
about,,about,Permanent,[RFC6694],
acap,,application configuration access protocol,Permanent,[RFC2244],
acct,,acct,Permanent,[RFC7565],
acr,prov/acr,acr,Provisional,[OMA-OMNA],
adiumxtra,prov/adiumxtra,adiumxtra,Provisional,[Dave_Thaler],
afp,prov/afp,afp,Provisional,[Dave_Thaler],
afs,,Andrew File System global file names,Provisional,[RFC1738],
aim,prov/aim,aim,Provisional,[Dave_Thaler],
appdata,prov/appdata,appdata,Provisional,[urischemeowners_at_microsoft.com],
apt,prov/apt,apt,Provisional,[Dave_Thaler],
attachment,prov/attachment,attachment,Provisional,[Dave_Thaler],
aw,prov/aw,aw,Provisional,[Dave_Thaler],
barion,prov/barion,barion,Provisional,[Bíró_Tamás],
beshare,prov/beshare,beshare,Provisional,[Dave_Thaler],
bitcoin,prov/bitcoin,bitcoin,Provisional,[Dave_Thaler],
bitcoincash,prov/bitcoincash,bitcoincash,Provisional,[Corentin_Mercier],
blob,prov/blob,blob,Provisional,[W3C_WebApps_Working_Group][Chris_Rebert],
bolo,prov/bolo,bolo,Provisional,[Dave_Thaler],
browserext,prov/browserext,browserext,Provisional,[Mike_Pietraszak],
callto,prov/callto,callto,Provisional,[Alexey_Melnikov],
cap,,Calendar Access Protocol,Permanent,[RFC4324],
chrome,prov/chrome,chrome,Provisional,[Dave_Thaler],
chrome-extension,prov/chrome-extension,chrome-extension,Provisional,[Dave_Thaler],
cid,,content identifier,Permanent,[RFC2392],
coap,,coap,Permanent,[RFC7252],
coap+tcp,,coap+tcp [1],Permanent,[RFC8323],
coap+ws,,coap+ws [1],Permanent,[RFC8323],
coaps,,coaps,Permanent,[RFC7252],
coaps+tcp,,coaps+tcp [1],Permanent,[RFC8323],
coaps+ws,,coaps+ws [1],Permanent,[RFC8323],
com-eventbrite-attendee,prov/com-eventbrite-attendee,com-eventbrite-attendee,Provisional,[Bob_Van_Zant],
content,prov/content,content,Provisional,[Dave_Thaler],
conti,prov/conti,conti,Provisional,[Michael_Hedenus],
crid,,TV-Anytime Content Reference Identifier,Permanent,[RFC4078],
cvs,prov/cvs,cvs,Provisional,[Dave_Thaler],
data,,data,Permanent,[RFC2397],
dav,,dav,Permanent,[RFC4918],
diaspora,prov/diaspora,diaspora,Provisional,[Dennis_Schubert],
dict,,dictionary service protocol,Permanent,[RFC2229],
did,prov/did,did,Provisional,[W3C_Credentials_Community_Group][Manu_Sporny],
dis,prov/dis,dis,Provisional,[Christophe_Meessen],
dlna-playcontainer,prov/dlna-playcontainer,dlna-playcontainer,Provisional,[DLNA],
dlna-playsingle,prov/dlna-playsingle,dlna-playsingle,Provisional,[DLNA],
dns,,Domain Name System,Permanent,[RFC4501],
dntp,prov/dntp,dntp,Provisional,[Hans-Dieter_A._Hiep],
dtn,,DTNRG research and development,Provisional,[RFC5050],
dvb,,dvb,Provisional,[draft-mcroberts-uri-dvb],
ed2k,prov/ed2k,ed2k,Provisional,[Dave_Thaler],
elsi,prov/elsi,elsi,Provisional,[Kimmo_Lindholm],
example,,example,Permanent,[RFC7595],
facetime,prov/facetime,facetime,Provisional,[Dave_Thaler],
fax,,fax,Historical,[RFC2806][RFC3966],
feed,prov/feed,feed,Provisional,[Dave_Thaler],
feedready,prov/feedready,feedready,Provisional,[Mirko_Nosenzo],
file,,Host-specific file names,Permanent,[RFC8089],
filesystem,historic/filesystem,filesystem,Historical,[W3C_WebApps_Working_Group][Chris_Rebert],
finger,prov/finger,finger,Provisional,[Dave_Thaler],
fish,prov/fish,fish,Provisional,[Dave_Thaler],
ftp,,File Transfer Protocol,Permanent,[RFC1738],
geo,,Geographic Locations,Permanent,[RFC5870],
gg,prov/gg,gg,Provisional,[Dave_Thaler],
git,prov/git,git,Provisional,[Dave_Thaler],
gizmoproject,prov/gizmoproject,gizmoproject,Provisional,[Dave_Thaler],
go,,go,Permanent,[RFC3368],
gopher,,The Gopher Protocol,Permanent,[RFC4266],
graph,prov/graph,graph,Provisional,[Alastair_Green],
gtalk,prov/gtalk,gtalk,Provisional,[Dave_Thaler],
h323,,H.323,Permanent,[RFC3508],
ham,,ham,Provisional,[RFC7046],
hcap,prov/hcap,hcap,Provisional,[urischemeowners_at_microsoft.com],
hcp,prov/hcp,hcp,Provisional,[Alexey_Melnikov],
http,,Hypertext Transfer Protocol,Permanent,"[RFC7230, Section 2.7.1]",
https,,Hypertext Transfer Protocol Secure,Permanent,"[RFC7230, Section 2.7.2]",
